school_code,propensity_score,in_treatment,in_control
00010015,0.19508036971092224,0,0
00010405,0.720414400100708,0,0
00020010,0.04288285970687866,0,0
00020015,0.053897708654403687,0,0
00020020,0.04063427448272705,0,0
00020025,0.042705386877059937,0,0
00030305,0.6670011281967163,0,0
00050303,0.5348455309867859,0,0
00050405,0.8283273577690125,1,0
00070013,0.807154655456543,0,1
00080009,0.023363441228866577,0,0
00080020,0.03073522448539734,0,0
00080050,0.035811275243759155,0,0
00090305,0.7736008167266846,0,0
00090310,0.7462714910507202,0,1
00090350,0.5841150283813477,0,0
00100410,0.6248719692230225,0,0
00160305,0.7030699253082275,0,0
00160315,0.6453992128372192,0,0
00160320,0.6804171204566956,0,1
00170305,0.8010722398757935,1,0
00180010,0.05359402298927307,0,0
00180510,0.24202194809913635,0,0
00200315,0.3747672438621521,0,0
00200505,0.28767281770706177,0,0
00230305,0.7310101985931396,0,0
00240006,0.3512246608734131,0,1
00240025,0.7761103510856628,0,1
00250315,0.8407011032104492,1,0
00260305,0.7603094577789307,0,0
00270305,0.5272585153579712,0,0
00280005,0.04759421944618225,0,0
00300305,0.7055155038833618,0,0
00310305,0.7123966217041016,0,1
00310310,0.6229187846183777,0,0
00350004,0.04573261737823486,0,0
00350012,0.08490335941314697,0,0
00350013,0.18880966305732727,0,0
00350020,0.1809709072113037,0,0
00350074,0.21072185039520264,0,0
00350080,0.2338866889476776,0,0
00350096,0.11950865387916565,0,0
00350116,0.06178387999534607,0,0
00350179,0.388729065656662,0,1
00350182,0.05803573131561279,0,0
00350183,0.04458269476890564,0,0
00350190,0.07206067442893982,0,0
00350229,0.12878283858299255,0,0
00350240,0.1921345591545105,0,0
00350255,0.167161762714386,0,0
00350257,0.1984686553478241,0,0
00350258,0.08204042911529541,0,0
00350262,0.10093075037002563,0,0
00350308,0.08256566524505615,0,0
00350326,0.06132778525352478,0,0
00350346,0.13192406296730042,0,0
00350363,0.10514259338378906,0,0
00350375,0.1044960618019104,0,0
00350376,0.040105342864990234,0,0
00350377,0.082185298204422,0,0
00350378,0.15605390071868896,0,0
00350380,0.09971833229064941,0,0
00350382,0.06173825263977051,0,0
00350383,0.2751538157463074,0,0
00350426,0.28293177485466003,0,0
00350445,0.32763180136680603,0,1
00350470,0.344271719455719,0,1
00350485,0.46854549646377563,0,0
00350545,0.8287909030914307,0,1
00350560,0.8806743025779724,1,0
00350565,0.1844753921031952,0,0
00350656,0.08724841475486755,0,0
00350657,0.07421386241912842,0,0
00350691,0.15477749705314636,0,0
00350750,0.16068211197853088,0,0
00360325,0.7638370990753174,0,0
00370005,0.038284242153167725,0,0
00380013,0.11731696128845215,0,0
00390005,0.050371795892715454,0,0
00400305,0.7277172207832336,0,0
00400310,0.7319947481155396,0,0
00430005,0.05782294273376465,0,0
00440023,0.1871008574962616,0,0
00440078,0.17104199528694153,0,0
00440405,0.25602781772613525,0,0
00440410,0.3701697885990143,0,0
00440415,0.34655746817588806,0,1
00440420,0.5492406487464905,0,0
00440421,0.23888185620307922,0,0
00440422,0.3703739643096924,0,0
00450005,0.05658000707626343,0,0
00460015,0.25405749678611755,0,0
00460020,0.17061886191368103,0,0
00460025,0.3186284899711609,0,0
00460030,0.2858724296092987,0,0
00460040,0.20321470499038696,0,0
00480303,0.6931489706039429,0,0
00490006,0.09635362029075623,0,0
00490305,0.05742907524108887,0,0
00490310,0.05206108093261719,0,0
00490315,0.06843531131744385,0,0
00490320,0.06238803267478943,0,0
00510025,0.42735105752944946,0,1
00520405,0.5474302768707275,0,0
00560305,0.8172851204872131,0,0
00560310,0.7785642147064209,0,1
00570045,0.43687888979911804,0,1
00570050,0.6599236726760864,0,1
00570055,0.32331785559654236,0,0
00610021,0.04122662544250488,0,0
00610305,0.5984287858009338,0,0
