school_code,year,Grade 6 P+A #,Grade 6 P+A %,Grade 6 A #,Grade 6 A %,Grade 6 P #,Grade 6 P %,Grade 6 NI #,Grade 6 NI %,Grade 6 W/F #,Grade 6 W/F %,Grade 6 No. of Students Included,Grade 6 CPI,Grade 6 Median SGP,Grade 6 Included In Median SGP,Grade 7 P+A #,Grade 7 P+A %,Grade 7 A #,Grade 7 A %,Grade 7 P #,Grade 7 P %,Grade 7 NI #,Grade 7 NI %,Grade 7 W/F #,Grade 7 W/F %,Grade 7 No. of Students Included,Grade 7 CPI,Grade 7 Median SGP,Grade 7 Included In Median SGP,Grade 8 P+A #,Grade 8 P+A %,Grade 8 A #,Grade 8 A %,Grade 8 P #,Grade 8 P %,Grade 8 NI #,Grade 8 NI %,Grade 8 W/F #,Grade 8 W/F %,Grade 8 No. of Students Included,Grade 8 CPI,Grade 8 Median SGP,Grade 8 Included In Median SGP,Grade 6 P+A #_is_nan,Grade 6 Median SGP_is_nan,Grade 6 Included In Median SGP_is_nan,Grade 7 P+A #_is_nan,Grade 7 Median SGP_is_nan,Grade 7 Included In Median SGP_is_nan,Grade 8 P+A #_is_nan,Grade 8 Median SGP_is_nan,Grade 8 Included In Median SGP_is_nan
00160305,2007.0,77.0,52.0,22.0,15.0,55.0,37.0,48.0,32.0,24.0,16.0,149.0,76.8,,,66.0,47.0,14.0,10.0,52.0,37.0,44.0,31.0,31.0,22.0,141.0,71.8,,,69.0,41.0,23.0,14.0,46.0,27.0,56.0,33.0,44.0,26.0,169.0,68.6,,,0,1,1,0,1,1,0,1,1
00160315,2007.0,80.0,57.0,35.0,25.0,45.0,32.0,36.0,26.0,24.0,17.0,140.0,82.1,,,75.0,49.0,14.0,9.0,61.0,40.0,46.0,30.0,30.0,20.0,151.0,76.0,,,75.0,55.0,30.0,22.0,45.0,33.0,43.0,32.0,17.0,13.0,135.0,78.7,,,0,1,1,0,1,1,0,1,1
00160320,2007.0,68.0,43.0,16.0,10.0,52.0,33.0,52.0,33.0,37.0,24.0,157.0,70.4,,,68.0,46.0,19.0,13.0,49.0,33.0,47.0,32.0,32.0,22.0,147.0,71.4,,,79.0,51.0,34.0,22.0,45.0,29.0,61.0,39.0,15.0,10.0,155.0,78.4,,,0,1,1,0,1,1,0,1,1
00170305,2007.0,106.0,55.0,42.0,22.0,64.0,33.0,55.0,28.0,34.0,17.0,195.0,76.8,,,89.0,45.0,26.0,13.0,63.0,32.0,74.0,37.0,37.0,19.0,200.0,72.6,,,102.0,56.0,42.0,23.0,60.0,33.0,53.0,29.0,25.0,14.0,180.0,80.1,,,0,1,1,0,1,1,0,1,1
00180010,2007.0,38.0,62.0,7.0,11.0,31.0,51.0,17.0,28.0,6.0,10.0,61.0,82.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
00180510,2007.0,,,,,,,,,,,,,,,29.0,43.0,8.0,12.0,21.0,31.0,22.0,32.0,17.0,25.0,68.0,72.8,,,18.0,29.0,5.0,8.0,13.0,21.0,28.0,46.0,15.0,25.0,61.0,62.3,,,1,1,1,0,1,1,0,1,1
00200315,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00200505,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00230305,2007.0,154.0,79.0,78.0,40.0,76.0,39.0,35.0,18.0,4.0,2.0,193.0,91.2,,,96.0,60.0,37.0,23.0,59.0,37.0,43.0,27.0,21.0,13.0,160.0,80.2,,,117.0,76.0,57.0,37.0,60.0,39.0,30.0,19.0,8.0,5.0,155.0,89.8,,,0,1,1,0,1,1,0,1,1
00240006,2007.0,120.0,56.0,34.0,16.0,86.0,40.0,65.0,30.0,30.0,14.0,215.0,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
