school_code,year,Grade 6 P+A #,Grade 6 P+A %,Grade 6 A #,Grade 6 A %,Grade 6 P #,Grade 6 P %,Grade 6 NI #,Grade 6 NI %,Grade 6 W/F #,Grade 6 W/F %,Grade 6 No. of Students Included,Grade 6 CPI,Grade 6 Median SGP,Grade 6 Included In Median SGP,Grade 7 P+A #,Grade 7 P+A %,Grade 7 A #,Grade 7 A %,Grade 7 P #,Grade 7 P %,Grade 7 NI #,Grade 7 NI %,Grade 7 W/F #,Grade 7 W/F %,Grade 7 No. of Students Included,Grade 7 CPI,Grade 7 Median SGP,Grade 7 Included In Median SGP,Grade 8 P+A #,Grade 8 P+A %,Grade 8 A #,Grade 8 A %,Grade 8 P #,Grade 8 P %,Grade 8 NI #,Grade 8 NI %,Grade 8 W/F #,Grade 8 W/F %,Grade 8 No. of Students Included,Grade 8 CPI,Grade 8 Median SGP,Grade 8 Included In Median SGP,Grade 6 P+A #_is_nan,Grade 6 Median SGP_is_nan,Grade 6 Included In Median SGP_is_nan,Grade 7 P+A #_is_nan,Grade 7 Median SGP_is_nan,Grade 7 Included In Median SGP_is_nan,Grade 8 P+A #_is_nan,Grade 8 Median SGP_is_nan,Grade 8 Included In Median SGP_is_nan
00350575,2008.0,,,,,,,,,,,,,,,113.0,76.0,25.0,17.0,88.0,59.0,33.0,22.0,4.0,3.0,150.0,91.5,56.5,124.0,102.0,68.0,16.0,11.0,86.0,57.0,39.0,26.0,10.0,7.0,151.0,86.1,49.0,147.0,1,1,1,0,0,0,0,0,0
00350656,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350657,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350691,2008.0,16.0,46.0,6.0,17.0,10.0,29.0,16.0,46.0,3.0,9.0,35.0,79.3,32.0,35.0,9.0,36.0,0.0,0.0,9.0,36.0,10.0,40.0,6.0,24.0,25.0,68.0,38.0,25.0,13.0,50.0,1.0,4.0,12.0,46.0,12.0,46.0,1.0,4.0,26.0,79.8,53.5,26.0,0,0,0,0,0,0,0,0,0
00350750,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,19.0,90.0,21.0,84.5,,2.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,90.0,10.0,72.5,,3.0,0,1,0,1,1,1,0,1,0
00360325,2008.0,122.0,63.0,60.0,31.0,62.0,32.0,48.0,24.0,26.0,13.0,196.0,81.5,63.0,187.0,101.0,49.0,25.0,12.0,76.0,37.0,68.0,33.0,35.0,17.0,204.0,74.9,58.5,196.0,84.0,47.0,34.0,19.0,50.0,28.0,66.0,38.0,26.0,15.0,176.0,74.0,38.0,172.0,0,0,0,0,0,0,0,0,0
00370005,2008.0,79.0,79.0,38.0,38.0,41.0,41.0,17.0,17.0,3.0,3.0,99.0,93.7,38.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
00380013,2008.0,127.0,82.0,62.0,40.0,65.0,42.0,24.0,15.0,5.0,3.0,156.0,91.7,57.0,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
00390005,2008.0,37.0,71.0,15.0,29.0,22.0,42.0,8.0,15.0,7.0,13.0,52.0,87.0,71.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
00400305,2008.0,179.0,70.0,77.0,30.0,102.0,40.0,60.0,24.0,16.0,6.0,255.0,88.9,66.0,243.0,144.0,63.0,41.0,18.0,103.0,45.0,61.0,27.0,25.0,11.0,230.0,83.3,60.0,217.0,130.0,56.0,54.0,23.0,76.0,33.0,78.0,34.0,22.0,10.0,230.0,81.0,51.0,218.0,0,0,0,0,0,0,0,0,0
00400310,2008.0,133.0,85.0,64.0,41.0,69.0,44.0,20.0,13.0,5.0,3.0,158.0,93.8,73.0,154.0,118.0,57.0,33.0,16.0,85.0,41.0,70.0,34.0,18.0,9.0,206.0,81.7,55.0,202.0,100.0,66.0,46.0,30.0,54.0,36.0,40.0,26.0,12.0,8.0,152.0,85.0,64.0,147.0,0,0,0,0,0,0,0,0,0
00430005,2008.0,26.0,65.0,12.0,30.0,14.0,35.0,11.0,28.0,3.0,8.0,40.0,85.0,72.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
00440023,2008.0,50.0,48.0,14.0,13.0,36.0,35.0,41.0,39.0,13.0,13.0,104.0,75.7,68.5,104.0,49.0,52.0,10.0,11.0,39.0,41.0,34.0,36.0,11.0,12.0,94.0,79.0,73.5,90.0,32.0,36.0,3.0,3.0,29.0,33.0,37.0,42.0,19.0,22.0,88.0,67.0,30.0,85.0,0,0,0,0,0,0,0,0,0
00440078,2008.0,32.0,35.0,10.0,11.0,22.0,24.0,30.0,33.0,30.0,33.0,92.0,64.9,48.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
00440405,2008.0,,,,,,,,,,,,,,,37.0,15.0,5.0,2.0,32.0,13.0,73.0,31.0,128.0,54.0,238.0,51.9,32.0,186.0,62.0,23.0,10.0,4.0,52.0,19.0,96.0,36.0,110.0,41.0,268.0,57.0,58.0,228.0,1,1,1,0,0,0,0,0,0
00440410,2008.0,,,,,,,,,,,,,,,49.0,23.0,6.0,3.0,43.0,20.0,71.0,33.0,97.0,45.0,217.0,51.4,28.0,214.0,66.0,28.0,17.0,7.0,49.0,21.0,84.0,35.0,87.0,37.0,237.0,57.4,47.0,229.0,1,1,1,0,0,0,0,0,0
00440415,2008.0,59.0,48.0,19.0,15.0,40.0,33.0,34.0,28.0,30.0,24.0,123.0,72.0,46.0,116.0,38.0,22.0,10.0,6.0,28.0,16.0,54.0,31.0,81.0,47.0,173.0,59.2,20.5,150.0,41.0,26.0,11.0,7.0,30.0,19.0,58.0,36.0,61.0,38.0,160.0,57.7,41.0,151.0,0,0,0,0,0,0,0,0,0
00440420,2008.0,,,,,,,,,,,,,,,42.0,18.0,3.0,1.0,39.0,17.0,88.0,38.0,100.0,43.0,230.0,50.8,16.0,219.0,70.0,26.0,11.0,4.0,59.0,22.0,87.0,32.0,114.0,42.0,271.0,55.4,45.5,256.0,1,1,1,0,0,0,0,0,0
00440421,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00440422,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00450005,2008.0,20.0,59.0,6.0,18.0,14.0,41.0,9.0,26.0,5.0,15.0,34.0,80.9,55.5,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
00460005,2008.0,50.0,81.0,31.0,50.0,19.0,31.0,11.0,18.0,1.0,2.0,62.0,92.7,63.0,56.0,49.0,81.0,26.0,43.0,23.0,38.0,7.0,11.0,5.0,8.0,61.0,91.0,59.0,56.0,35.0,72.0,18.0,37.0,17.0,35.0,9.0,18.0,5.0,10.0,49.0,88.8,56.5,46.0,0,0,0,0,0,0,0,0,0
00460015,2008.0,62.0,88.0,45.0,64.0,17.0,24.0,6.0,9.0,2.0,3.0,70.0,94.6,80.0,65.0,49.0,76.0,20.0,31.0,29.0,45.0,13.0,20.0,3.0,5.0,65.0,89.6,42.0,63.0,54.0,81.0,30.0,45.0,24.0,36.0,7.0,11.0,5.0,8.0,66.0,89.8,34.0,62.0,0,0,0,0,0,0,0,0,0
00460020,2008.0,24.0,68.0,12.0,34.0,12.0,34.0,10.0,29.0,1.0,3.0,35.0,89.3,46.0,33.0,24.0,71.0,7.0,21.0,17.0,50.0,9.0,26.0,1.0,3.0,34.0,89.0,26.0,33.0,35.0,74.0,16.0,34.0,19.0,40.0,8.0,17.0,4.0,9.0,47.0,86.2,40.0,42.0,0,0,0,0,0,0,0,0,0
00460025,2008.0,28.0,84.0,14.0,42.0,14.0,42.0,2.0,6.0,3.0,9.0,33.0,90.2,55.0,30.0,29.0,87.0,13.0,39.0,16.0,48.0,4.0,12.0,0.0,0.0,33.0,96.2,73.0,31.0,31.0,82.0,22.0,58.0,9.0,24.0,6.0,16.0,1.0,3.0,38.0,92.8,72.5,36.0,0,0,0,0,0,0,0,0,0
00460030,2008.0,34.0,77.0,18.0,41.0,16.0,36.0,6.0,14.0,4.0,9.0,44.0,87.5,29.5,42.0,30.0,77.0,16.0,41.0,14.0,36.0,5.0,13.0,4.0,10.0,39.0,87.2,69.0,37.0,38.0,91.0,28.0,67.0,10.0,24.0,2.0,5.0,2.0,5.0,42.0,95.2,67.0,41.0,0,0,0,0,0,0,0,0,0
00460035,2008.0,34.0,76.0,18.0,40.0,16.0,36.0,3.0,7.0,8.0,18.0,45.0,89.4,46.0,37.0,27.0,68.0,10.0,25.0,17.0,43.0,9.0,23.0,4.0,10.0,40.0,86.3,71.0,33.0,37.0,79.0,20.0,43.0,17.0,36.0,7.0,15.0,3.0,6.0,47.0,91.0,61.0,42.0,0,0,0,0,0,0,0,0,0
00460040,2008.0,49.0,76.0,34.0,53.0,15.0,23.0,13.0,20.0,2.0,3.0,64.0,89.1,74.0,63.0,35.0,68.0,21.0,41.0,14.0,27.0,10.0,20.0,6.0,12.0,51.0,84.8,54.0,46.0,39.0,70.0,18.0,32.0,21.0,38.0,15.0,27.0,2.0,4.0,56.0,87.1,41.0,51.0,0,0,0,0,0,0,0,0,0
00460045,2008.0,32.0,82.0,18.0,46.0,14.0,36.0,5.0,13.0,2.0,5.0,39.0,92.9,54.0,36.0,26.0,66.0,15.0,38.0,11.0,28.0,9.0,23.0,5.0,13.0,40.0,83.8,37.0,33.0,42.0,68.0,27.0,44.0,15.0,24.0,14.0,23.0,6.0,10.0,62.0,84.3,46.0,59.0,0,0,0,0,0,0,0,0,0
00480303,2008.0,194.0,68.0,74.0,26.0,120.0,42.0,70.0,24.0,23.0,8.0,287.0,85.6,65.0,280.0,178.0,64.0,53.0,19.0,125.0,45.0,78.0,28.0,21.0,8.0,277.0,83.9,64.0,275.0,182.0,69.0,76.0,29.0,106.0,40.0,50.0,19.0,34.0,13.0,266.0,83.5,61.0,263.0,0,0,0,0,0,0,0,0,0
00490006,2008.0,11.0,42.0,5.0,19.0,6.0,23.0,10.0,38.0,5.0,19.0,26.0,71.2,11.5,22.0,12.0,48.0,5.0,20.0,7.0,28.0,7.0,28.0,6.0,24.0,25.0,71.0,60.0,25.0,10.0,50.0,4.0,20.0,6.0,30.0,6.0,30.0,4.0,20.0,20.0,70.0,,17.0,0,0,0,0,0,0,0,1,0
00490305,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00490310,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00490315,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00490320,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00500305,2008.0,178.0,80.0,87.0,39.0,91.0,41.0,38.0,17.0,7.0,3.0,223.0,91.3,48.0,217.0,154.0,65.0,53.0,22.0,101.0,43.0,67.0,28.0,15.0,6.0,236.0,85.1,58.0,234.0,157.0,66.0,84.0,35.0,73.0,31.0,60.0,25.0,21.0,9.0,238.0,83.8,58.0,233.0,0,0,0,0,0,0,0,0,0
00510025,2008.0,71.0,84.0,38.0,45.0,33.0,39.0,8.0,9.0,6.0,7.0,85.0,92.6,57.0,78.0,92.0,88.0,47.0,45.0,45.0,43.0,9.0,9.0,4.0,4.0,105.0,94.3,72.0,98.0,87.0,83.0,49.0,47.0,38.0,36.0,15.0,14.0,3.0,3.0,105.0,92.9,58.0,99.0,0,0,0,0,0,0,0,0,0
00520405,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00560305,2008.0,116.0,65.0,59.0,33.0,57.0,32.0,42.0,24.0,19.0,11.0,177.0,82.9,48.0,174.0,124.0,70.0,48.0,27.0,76.0,43.0,41.0,23.0,11.0,6.0,176.0,87.2,64.0,173.0,138.0,72.0,75.0,39.0,63.0,33.0,36.0,19.0,18.0,9.0,192.0,86.1,67.0,190.0,0,0,0,0,0,0,0,0,0
00560310,2008.0,171.0,78.0,103.0,47.0,68.0,31.0,35.0,16.0,11.0,5.0,217.0,91.4,69.5,212.0,139.0,61.0,57.0,25.0,82.0,36.0,67.0,29.0,23.0,10.0,229.0,82.8,55.0,222.0,156.0,63.0,84.0,34.0,72.0,29.0,60.0,24.0,31.0,13.0,247.0,82.1,43.5,240.0,0,0,0,0,0,0,0,0,0
00570045,2008.0,30.0,27.0,12.0,11.0,18.0,16.0,33.0,29.0,49.0,44.0,112.0,57.1,31.5,100.0,24.0,23.0,3.0,3.0,21.0,20.0,37.0,35.0,44.0,42.0,105.0,54.0,43.0,92.0,14.0,14.0,4.0,4.0,10.0,10.0,21.0,20.0,70.0,67.0,105.0,41.0,35.5,90.0,0,0,0,0,0,0,0,0,0
00570050,2008.0,67.0,51.0,17.0,13.0,50.0,38.0,40.0,30.0,25.0,19.0,132.0,73.5,51.0,125.0,37.0,29.0,5.0,4.0,32.0,25.0,44.0,35.0,46.0,36.0,127.0,58.3,40.0,122.0,32.0,26.0,10.0,8.0,22.0,18.0,36.0,30.0,51.0,43.0,119.0,54.2,68.0,116.0,0,0,0,0,0,0,0,0,0
00570055,2008.0,42.0,42.0,9.0,9.0,33.0,33.0,25.0,25.0,32.0,32.0,99.0,65.2,42.0,90.0,25.0,29.0,4.0,5.0,21.0,24.0,25.0,29.0,37.0,43.0,87.0,55.2,48.0,80.0,19.0,21.0,6.0,7.0,13.0,14.0,28.0,31.0,44.0,48.0,91.0,50.3,35.0,84.0,0,0,0,0,0,0,0,0,0
00610021,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00610305,2008.0,120.0,44.0,36.0,13.0,84.0,31.0,82.0,30.0,70.0,26.0,272.0,71.1,42.0,251.0,77.0,26.0,15.0,5.0,62.0,21.0,87.0,29.0,138.0,46.0,302.0,54.5,35.0,289.0,102.0,31.0,24.0,7.0,78.0,24.0,100.0,31.0,120.0,37.0,322.0,58.9,46.0,309.0,0,0,0,0,0,0,0,0,0
00610310,2008.0,100.0,48.0,29.0,14.0,71.0,34.0,63.0,30.0,46.0,22.0,209.0,72.6,58.5,196.0,81.0,34.0,16.0,7.0,65.0,27.0,83.0,34.0,78.0,32.0,242.0,63.4,57.5,234.0,64.0,26.0,14.0,6.0,50.0,20.0,72.0,30.0,108.0,44.0,244.0,54.4,41.0,232.0,0,0,0,0,0,0,0,0,0
00630010,2008.0,5.0,28.0,1.0,6.0,4.0,22.0,7.0,39.0,6.0,33.0,18.0,61.1,,16.0,9.0,26.0,3.0,9.0,6.0,17.0,15.0,43.0,11.0,31.0,35.0,60.7,40.0,33.0,11.0,43.0,2.0,8.0,9.0,35.0,12.0,46.0,3.0,12.0,26.0,72.1,48.5,24.0,0,1,0,0,0,0,0,0,0
00640305,2008.0,69.0,57.0,25.0,21.0,44.0,36.0,43.0,36.0,9.0,7.0,121.0,82.0,46.0,117.0,61.0,39.0,14.0,9.0,47.0,30.0,53.0,33.0,45.0,28.0,159.0,67.0,44.0,149.0,64.0,44.0,19.0,13.0,45.0,31.0,40.0,28.0,41.0,28.0,145.0,68.1,48.0,134.0,0,0,0,0,0,0,0,0,0
00650505,2008.0,91.0,83.0,55.0,50.0,36.0,33.0,16.0,15.0,2.0,2.0,109.0,93.6,68.0,108.0,80.0,77.0,39.0,38.0,41.0,39.0,19.0,18.0,5.0,5.0,104.0,90.6,43.0,103.0,85.0,78.0,35.0,32.0,50.0,46.0,16.0,15.0,8.0,7.0,109.0,89.2,47.0,109.0,0,0,0,0,0,0,0,0,0
00670305,2008.0,144.0,72.0,62.0,31.0,82.0,41.0,41.0,20.0,17.0,8.0,202.0,87.3,26.0,189.0,124.0,66.0,38.0,20.0,86.0,46.0,49.0,26.0,14.0,7.0,187.0,85.3,36.0,181.0,147.0,78.0,79.0,42.0,68.0,36.0,34.0,18.0,7.0,4.0,188.0,91.4,62.0,185.0,0,0,0,0,0,0,0,0,0
00680005,2008.0,11.0,50.0,7.0,32.0,4.0,18.0,5.0,23.0,6.0,27.0,22.0,78.4,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,1,1
00710305,2008.0,155.0,57.0,51.0,19.0,104.0,38.0,89.0,32.0,30.0,11.0,274.0,80.9,51.0,261.0,146.0,51.0,23.0,8.0,123.0,43.0,97.0,34.0,43.0,15.0,286.0,76.7,61.0,279.0,153.0,54.0,42.0,15.0,111.0,39.0,94.0,33.0,39.0,14.0,286.0,79.7,45.0,274.0,0,0,0,0,0,0,0,0,0
00720050,2008.0,234.0,63.0,97.0,26.0,137.0,37.0,93.0,25.0,40.0,11.0,367.0,83.8,55.0,347.0,189.0,57.0,49.0,15.0,140.0,42.0,118.0,36.0,23.0,7.0,330.0,82.8,68.5,316.0,189.0,55.0,75.0,22.0,114.0,33.0,110.0,32.0,49.0,14.0,348.0,79.0,64.0,335.0,0,0,0,0,0,0,0,0,0
00730305,2008.0,136.0,58.0,51.0,22.0,85.0,36.0,74.0,31.0,25.0,11.0,235.0,81.2,50.0,229.0,109.0,51.0,26.0,12.0,83.0,39.0,67.0,32.0,36.0,17.0,212.0,77.2,46.0,201.0,112.0,52.0,39.0,18.0,73.0,34.0,68.0,32.0,32.0,15.0,212.0,78.3,54.5,206.0,0,0,0,0,0,0,0,0,0
00740015,2008.0,39.0,60.0,11.0,17.0,28.0,43.0,18.0,28.0,8.0,12.0,65.0,83.1,35.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
00770100,2008.0,72.0,51.0,21.0,15.0,51.0,36.0,43.0,30.0,26.0,18.0,141.0,74.5,46.0,137.0,45.0,41.0,8.0,7.0,37.0,34.0,44.0,40.0,20.0,18.0,109.0,70.9,66.5,108.0,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1
00770505,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,51.0,27.0,18.0,49.0,33.0,39.0,26.0,34.0,23.0,149.0,72.1,54.0,143.0,1,1,1,1,1,1,0,0,0
00790040,2008.0,192.0,53.0,76.0,21.0,116.0,32.0,115.0,32.0,50.0,14.0,357.0,77.9,52.5,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
00790410,2008.0,,,,,,,,,,,,,,,142.0,43.0,26.0,8.0,116.0,35.0,114.0,34.0,80.0,24.0,336.0,69.8,41.0,313.0,135.0,41.0,49.0,15.0,86.0,26.0,97.0,30.0,93.0,29.0,325.0,67.8,38.0,315.0,1,1,1,0,0,0,0,0,0
00820305,2008.0,192.0,84.0,99.0,43.0,93.0,41.0,31.0,14.0,5.0,2.0,228.0,94.1,58.5,226.0,189.0,73.0,73.0,28.0,116.0,45.0,46.0,18.0,24.0,9.0,259.0,86.7,47.0,251.0,181.0,69.0,78.0,30.0,103.0,39.0,59.0,22.0,24.0,9.0,264.0,84.8,44.0,261.0,0,0,0,0,0,0,0,0,0
00830010,2008.0,168.0,75.0,74.0,33.0,94.0,42.0,38.0,17.0,18.0,8.0,224.0,89.0,78.5,220.0,101.0,55.0,31.0,17.0,70.0,38.0,60.0,32.0,24.0,13.0,185.0,79.7,48.5,182.0,110.0,56.0,37.0,19.0,73.0,37.0,60.0,31.0,25.0,13.0,195.0,79.6,51.0,193.0,0,0,0,0,0,0,0,0,0
00860305,2008.0,54.0,41.0,18.0,14.0,36.0,27.0,45.0,34.0,33.0,25.0,132.0,68.8,28.0,121.0,53.0,42.0,9.0,7.0,44.0,35.0,45.0,36.0,27.0,22.0,125.0,73.4,58.0,115.0,61.0,44.0,25.0,18.0,36.0,26.0,38.0,28.0,38.0,28.0,137.0,69.5,58.0,127.0,0,0,0,0,0,0,0,0,0
00870305,2008.0,136.0,66.0,53.0,26.0,83.0,40.0,52.0,25.0,19.0,9.0,207.0,84.1,46.0,201.0,106.0,50.0,22.0,10.0,84.0,40.0,75.0,36.0,30.0,14.0,211.0,75.2,36.5,204.0,117.0,55.0,41.0,19.0,76.0,36.0,60.0,28.0,34.0,16.0,211.0,78.0,39.0,207.0,0,0,0,0,0,0,0,0,0
00880405,2008.0,,,,,,,,,,,,,,,199.0,64.0,66.0,21.0,133.0,43.0,80.0,26.0,30.0,10.0,309.0,83.7,57.5,306.0,202.0,63.0,73.0,23.0,129.0,40.0,95.0,30.0,24.0,7.0,321.0,83.5,38.0,318.0,1,1,1,0,0,0,0,0,0
00890005,2008.0,13.0,44.0,5.0,17.0,8.0,27.0,15.0,50.0,2.0,7.0,30.0,75.8,61.0,28.0,14.0,40.0,5.0,14.0,9.0,26.0,13.0,37.0,8.0,23.0,35.0,70.0,59.0,33.0,21.0,52.0,8.0,20.0,13.0,32.0,12.0,29.0,8.0,20.0,41.0,78.7,80.5,38.0,0,0,0,0,0,0,0,0,0
00910030,2008.0,8.0,39.0,2.0,10.0,6.0,29.0,7.0,33.0,6.0,29.0,21.0,64.3,52.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
00930010,2008.0,11.0,19.0,3.0,5.0,8.0,14.0,25.0,44.0,21.0,37.0,57.0,56.1,22.0,55.0,7.0,15.0,2.0,4.0,5.0,11.0,26.0,57.0,13.0,28.0,46.0,59.2,57.0,45.0,20.0,47.0,6.0,14.0,14.0,33.0,13.0,30.0,10.0,23.0,43.0,70.3,47.0,41.0,0,0,0,0,0,0,0,0,0
00930018,2008.0,21.0,30.0,9.0,13.0,12.0,17.0,20.0,28.0,31.0,43.0,72.0,58.0,27.0,69.0,18.0,29.0,3.0,5.0,15.0,24.0,22.0,35.0,22.0,35.0,62.0,61.3,37.0,57.0,26.0,32.0,5.0,6.0,21.0,26.0,21.0,26.0,35.0,43.0,82.0,57.0,46.5,80.0,0,0,0,0,0,0,0,0,0
00930028,2008.0,49.0,57.0,14.0,16.0,35.0,41.0,24.0,28.0,12.0,14.0,85.0,79.1,90.0,85.0,20.0,25.0,3.0,4.0,17.0,21.0,33.0,40.0,29.0,35.0,82.0,57.9,31.0,77.0,17.0,25.0,2.0,3.0,15.0,22.0,28.0,41.0,23.0,34.0,68.0,59.6,27.0,67.0,0,0,0,0,0,0,0,0,0
00930038,2008.0,25.0,30.0,6.0,7.0,19.0,23.0,28.0,33.0,31.0,37.0,84.0,61.9,50.0,79.0,30.0,30.0,8.0,8.0,22.0,22.0,37.0,37.0,34.0,34.0,101.0,64.9,62.0,92.0,36.0,36.0,11.0,11.0,25.0,25.0,38.0,38.0,25.0,25.0,99.0,70.2,79.0,93.0,0,0,0,0,0,0,0,0,0
00930058,2008.0,23.0,39.0,5.0,8.0,18.0,31.0,17.0,29.0,19.0,32.0,59.0,65.3,45.0,54.0,21.0,35.0,5.0,8.0,16.0,27.0,17.0,29.0,21.0,36.0,59.0,62.7,29.0,53.0,19.0,28.0,10.0,15.0,9.0,13.0,28.0,42.0,20.0,30.0,67.0,61.2,53.5,58.0,0,0,0,0,0,0,0,0,0
00940305,2008.0,79.0,49.0,16.0,10.0,63.0,39.0,55.0,34.0,29.0,18.0,163.0,74.1,38.0,156.0,92.0,50.0,24.0,13.0,68.0,37.0,61.0,33.0,31.0,17.0,184.0,75.7,49.0,173.0,66.0,41.0,15.0,9.0,51.0,32.0,47.0,30.0,45.0,28.0,158.0,67.7,28.0,157.0,0,0,0,0,0,0,0,0,0
00950045,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00950305,2008.0,75.0,43.0,20.0,11.0,55.0,32.0,46.0,26.0,53.0,30.0,174.0,71.6,80.0,143.0,42.0,25.0,5.0,3.0,37.0,22.0,59.0,34.0,71.0,41.0,172.0,58.3,37.0,156.0,43.0,22.0,9.0,5.0,34.0,17.0,71.0,36.0,84.0,42.0,198.0,53.0,35.0,181.0,0,0,0,0,0,0,0,0,0
00950310,2008.0,48.0,26.0,6.0,3.0,42.0,23.0,64.0,34.0,74.0,40.0,186.0,57.7,36.5,174.0,41.0,21.0,9.0,5.0,32.0,16.0,79.0,40.0,78.0,39.0,198.0,57.2,65.0,173.0,64.0,32.0,20.0,10.0,44.0,22.0,63.0,32.0,73.0,37.0,200.0,62.0,70.0,189.0,0,0,0,0,0,0,0,0,0
00950315,2008.0,72.0,39.0,17.0,9.0,55.0,30.0,73.0,40.0,39.0,21.0,184.0,68.6,36.0,174.0,69.0,31.0,14.0,6.0,55.0,25.0,66.0,30.0,87.0,39.0,222.0,59.0,63.0,205.0,60.0,29.0,17.0,8.0,43.0,21.0,72.0,34.0,77.0,37.0,209.0,58.9,54.0,205.0,0,0,0,0,0,0,0,0,0
00950320,2008.0,48.0,28.0,17.0,10.0,31.0,18.0,48.0,27.0,80.0,45.0,176.0,57.7,30.0,162.0,34.0,19.0,6.0,3.0,28.0,16.0,63.0,37.0,75.0,44.0,172.0,53.1,45.0,161.0,40.0,29.0,15.0,11.0,25.0,18.0,39.0,29.0,57.0,42.0,136.0,59.2,70.0,123.0,0,0,0,0,0,0,0,0,0
00950326,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00960305,2008.0,159.0,60.0,69.0,26.0,90.0,34.0,72.0,27.0,37.0,14.0,268.0,81.3,37.5,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
00960405,2008.0,,,,,,,,,,,,,,,157.0,54.0,46.0,16.0,111.0,38.0,86.0,30.0,48.0,16.0,291.0,78.3,38.0,280.0,167.0,58.0,51.0,18.0,116.0,40.0,90.0,31.0,30.0,10.0,287.0,81.6,41.5,280.0,1,1,1,0,0,0,0,0,0
00970048,2008.0,66.0,51.0,18.0,14.0,48.0,37.0,37.0,28.0,28.0,21.0,131.0,76.9,56.0,123.0,70.0,45.0,14.0,9.0,56.0,36.0,51.0,33.0,34.0,22.0,155.0,73.4,54.0,145.0,49.0,35.0,18.0,13.0,31.0,22.0,42.0,29.0,53.0,37.0,144.0,60.6,45.0,136.0,0,0,0,0,0,0,0,0,0
00970315,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00970340,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00980005,2008.0,6.0,50.0,2.0,17.0,4.0,33.0,3.0,25.0,3.0,25.0,12.0,79.2,,10.0,3.0,25.0,1.0,8.0,2.0,17.0,5.0,42.0,4.0,33.0,12.0,58.3,,12.0,9.0,64.0,2.0,14.0,7.0,50.0,3.0,21.0,2.0,14.0,14.0,83.9,,12.0,0,1,0,0,1,0,0,1,0
