school_code,African American (#),Asian (#),Hispanic (#),White (#),Native American (#),"Native Hawaiian, Pacific Islander (#)","Multi-Race,Non-Hispanic (#)",Females (#),Males (#),FTE Count,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,Total # of Classes,Average Class Size,Number of Students,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained,General Education (#),Special Education (#),Career Vocational Technical (#),English Language Learner (#),<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability,Principal Total_is_nan
00070013,0.5,0.0,1.0,78.7,0.0,0.0,0.0,58.5,21.6,80.2,53.2,100.0,205.0,100.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,179.0,187.0,170.0,195.0,0.0,0.0,0.0,0.0,0.0,731.0,371.0,19.3,738.0,0.9,0.5,3.4,92.7,0.0,0.0,2.4,1.0,1.0,100.0,51.0,46.0,90.2,43.800000000000004,9.4,0.0,0.0,1.0,9.1,11.5,18.900000000000002,25.400000000000002,11.8,2.5,44.6,55.4,0.0,19.6,24.8,746.0,5.0,1.9,733.0,96.7,0
00080009,3.0,1.0,7.6,67.1,0.0,0.0,2.7,73.6,7.8,81.4,35.1,100.0,161.0,100.0,11.3,65.0,36.0,52.0,49.0,46.0,62.0,43.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,107.0,19.3,403.0,12.2,11.9,20.1,49.6,0.0,0.5,5.7,1.0,0.0,0.0,39.0,33.0,84.6,28.6,3.5,0.0,3.0,2.0,6.0,7.3,18.1,25.3,20.8,1.9000000000000001,50.4,49.6,11.7,21.6,39.7,415.0,9.4,6.7,399.0,94.2,0
00080020,2.0,2.0,7.1,72.9,0.0,1.0,1.5,71.4,15.1,86.5,38.3,100.0,168.0,95.2,9.8,0.0,53.0,52.0,48.0,60.0,46.0,56.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,119.0,19.6,385.0,8.1,14.8,19.0,48.8,0.0,0.3,9.1,1.0,1.0,100.0,42.0,31.0,73.8,29.6,5.4,0.0,3.3000000000000003,5.4,10.4,15.0,14.5,20.400000000000002,19.0,1.8,48.8,51.2,14.8,21.3,40.0,400.0,11.8,9.5,378.0,93.4,0
00080050,5.9,6.0,4.3,83.4,0.0,0.0,1.0,82.4,18.2,100.6,42.2,100.0,188.0,100.0,10.2,0.0,60.0,54.0,49.0,63.0,67.0,66.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,128.0,21.0,438.0,8.9,11.2,17.4,54.3,0.2,0.0,8.0,1.0,1.0,100.0,46.0,36.0,78.3,32.7,6.0,0.0,3.5,11.5,10.0,13.700000000000001,24.0,17.1,21.3,3.0,48.4,51.6,10.0,17.6,40.2,464.0,12.1,7.1,437.0,93.4,0
00090305,1.0,2.0,1.0,60.5,0.0,0.0,1.0,48.3,17.2,65.5,41.5,100.0,196.0,100.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,175.0,198.0,0.0,0.0,0.0,0.0,0.0,562.0,264.0,22.3,566.0,1.1,8.3,3.4,84.6,0.0,0.0,2.7,1.0,1.0,100.0,46.0,38.0,82.6,36.5,5.0,0.0,0.0,3.0,7.5,7.9,19.900000000000002,17.6,8.700000000000001,0.9,51.4,48.6,0.7,17.0,5.8,567.0,1.6,1.1,563.0,99.1,0
00090310,1.0,0.4,1.0,65.6,0.0,0.0,0.0,53.3,14.6,67.9,45.7,100.0,200.0,100.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,179.0,189.0,0.0,0.0,0.0,0.0,0.0,563.0,265.0,21.7,575.0,1.4,12.2,3.7,80.3,0.0,0.0,2.4,1.0,1.0,100.0,47.0,37.0,78.7,35.7,8.5,0.0,1.4000000000000001,0.0,7.3,11.200000000000001,21.8,14.3,12.3,1.0,46.8,53.2,1.4,16.5,6.1,585.0,5.3,2.7,571.0,97.0,0
00090350,0.0,0.0,1.0,61.6,0.0,0.0,0.0,52.3,10.3,62.6,35.2,100.0,148.0,100.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,125.0,150.0,0.0,0.0,0.0,0.0,0.0,405.0,242.0,17.3,408.0,1.0,16.4,8.3,72.3,0.0,0.0,2.0,1.0,1.0,100.0,41.0,38.0,92.7,26.3,7.6000000000000005,0.0,1.3,5.8,8.5,4.5,9.0,22.7,9.200000000000001,2.9,46.1,53.9,0.5,17.2,6.1,413.0,4.1,2.7,405.0,97.8,0
00100410,1.0,1.0,1.0,111.4,0.0,2.0,0.0,90.2,26.2,116.4,74.0,98.8,372.0,100.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,328.0,326.0,0.0,0.0,0.0,0.0,0.0,1028.0,560.0,20.2,1041.0,4.0,10.7,5.0,76.4,0.0,0.0,3.9,1.0,1.0,100.0,77.0,66.0,85.7,62.7,11.3,0.0,0.0,11.0,24.2,26.6,20.6,15.4,15.5,3.0,50.7,49.3,4.5,14.9,13.3,1051.0,3.8,2.3,1030.0,98.2,0
00140405,0.0,1.0,1.0,65.0,0.0,0.0,0.0,54.6,12.4,67.0,45.6,100.0,214.0,98.1,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,172.0,191.0,0.0,0.0,0.0,0.0,0.0,535.0,266.0,19.3,546.0,1.8,6.8,7.1,81.9,0.0,0.0,2.4,1.0,1.0,100.0,46.0,45.0,97.8,36.9,7.8,0.0,1.0,4.4,5.9,18.6,15.3,14.8,6.4,1.6,53.8,46.2,1.3,15.4,12.1,546.0,3.5,2.2,536.0,98.3,0
00160305,2.0,0.0,0.0,58.6,0.0,0.0,0.0,52.4,8.2,60.6,42.0,100.0,201.0,86.6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,149.0,154.0,150.0,0.0,0.0,0.0,0.0,0.0,630.0,342.0,22.9,643.0,4.0,2.8,8.1,81.8,0.3,0.2,2.8,1.0,0.0,0.0,41.0,36.0,87.8,32.0,10.0,0.0,0.0,6.0,7.0,14.5,11.700000000000001,14.200000000000001,6.2,1.0,47.3,52.7,2.3,17.1,30.3,653.0,7.7,3.1,638.0,94.5,0
00160315,1.0,0.0,0.0,63.6,0.0,0.0,0.0,53.0,11.7,64.6,40.0,100.0,170.0,97.6,14.7,0.0,0.0,0.0,0.0,0.0,0.0,144.0,141.0,151.0,153.0,0.0,0.0,0.0,0.0,0.0,589.0,251.0,22.2,600.0,3.7,3.5,15.0,72.0,0.5,0.2,5.2,1.0,1.0,100.0,37.0,35.0,94.6,31.0,9.0,0.0,0.0,1.0,10.5,5.7,22.400000000000002,11.200000000000001,12.200000000000001,1.8,46.0,54.0,4.5,14.5,44.0,626.0,12.8,7.0,595.0,91.8,0
00160320,0.0,0.0,1.0,55.2,0.0,0.0,1.0,44.5,12.7,57.2,35.0,100.0,146.0,97.3,15.7,0.0,0.0,0.0,0.0,0.0,0.0,128.0,138.0,139.0,145.0,0.0,0.0,0.0,0.0,0.0,550.0,249.0,23.7,562.0,5.0,3.2,14.8,73.3,0.5,0.0,3.2,1.0,1.0,100.0,35.0,33.0,94.3,28.0,6.0,0.0,1.0,0.0,8.0,12.5,6.2,17.2,11.3,2.0,50.0,50.0,8.2,16.2,39.7,576.0,10.9,4.5,556.0,92.3,0
00170305,0.0,1.0,1.0,62.2,0.0,0.0,0.0,51.2,13.0,64.2,42.5,100.0,181.0,100.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,206.0,184.0,0.0,0.0,0.0,0.0,0.0,577.0,250.0,21.4,585.0,1.9,3.1,5.3,87.0,0.5,0.0,2.2,1.0,1.0,100.0,45.0,37.0,82.2,36.1,6.4,0.0,0.0,2.0,10.0,14.1,13.3,16.2,8.6,0.0,49.9,50.1,2.6,13.0,30.8,586.0,4.6,1.9,579.0,96.5,0
00180010,1.0,0.6,0.0,43.4,0.0,0.0,0.0,42.7,2.3,45.0,31.0,100.0,152.0,100.0,12.9,20.0,43.0,47.0,57.0,56.0,58.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,119.0,18.9,415.0,19.8,4.6,7.2,63.1,0.5,0.0,4.8,1.0,1.0,100.0,31.0,28.0,90.3,25.5,5.5,0.0,0.0,2.0,11.8,11.700000000000001,10.0,5.0,3.8000000000000003,0.6,47.7,52.3,1.9,17.6,23.1,418.0,6.5,5.0,404.0,96.8,0
00180510,1.0,0.0,1.0,42.1,0.0,0.0,0.0,30.1,14.0,44.1,32.5,100.0,152.0,99.3,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,67.0,60.0,51.0,48.0,53.0,3.0,345.0,210.0,15.8,355.0,31.3,4.5,5.1,56.3,0.6,0.3,2.0,1.0,1.0,100.0,37.0,28.0,75.7,28.6,3.9,0.0,0.0,3.0,9.2,2.9,12.0,7.0,10.1,0.0,50.4,49.6,0.0,18.0,32.4,358.0,7.0,3.9,350.0,95.1,0
00200315,1.0,1.0,1.0,103.3,0.0,0.0,0.0,89.3,17.0,106.3,63.9,100.0,292.0,100.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,775.0,511.0,15.4,778.0,4.9,4.0,5.1,80.8,0.9,0.5,3.7,1.0,1.0,100.0,72.0,64.0,88.9,52.0,10.9,0.0,1.0,3.2,8.6,9.1,31.8,24.0,25.5,4.1,49.9,50.1,3.2,15.6,35.7,797.0,5.4,3.8,775.0,97.3,0
00200505,5.0,2.0,3.0,214.5,0.0,0.0,2.0,156.8,69.7,226.5,150.0,99.2,622.0,99.2,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,435.0,368.0,376.0,361.0,11.0,1944.0,765.0,15.7,1909.0,5.6,3.1,6.4,80.0,1.1,0.2,3.6,1.0,1.0,100.0,163.0,139.0,85.3,133.7,14.8,0.0,1.5,9.0,27.5,32.1,37.7,47.300000000000004,66.3,6.5,50.7,49.3,3.7,10.7,33.5,2026.0,11.2,7.5,1957.0,91.9,0
00230305,2.0,1.0,3.2,72.2,0.0,0.0,0.0,58.5,19.9,78.4,51.3,100.0,262.0,99.6,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,199.0,195.0,0.0,0.0,0.0,0.0,0.0,575.0,459.0,14.7,581.0,6.9,11.7,4.5,71.8,0.0,0.2,5.0,1.0,0.0,0.0,59.0,52.0,88.1,45.4,5.9,0.0,0.0,5.7,13.3,17.8,19.8,9.8,11.0,1.0,49.7,50.3,1.7,16.9,11.9,585.0,3.8,2.1,577.0,97.6,0
00240006,0.0,0.0,0.2,61.1,0.0,0.0,0.0,49.1,12.2,61.3,39.0,100.0,203.0,100.0,15.1,0.0,0.0,0.0,0.0,0.0,190.0,190.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.0,229.0,20.9,597.0,1.0,1.7,3.7,92.0,0.2,0.0,1.5,1.0,1.0,100.0,41.0,38.0,92.7,29.0,10.0,0.0,0.0,0.0,4.3,17.0,10.200000000000001,15.3,13.5,1.0,44.7,55.3,1.0,16.8,22.1,603.0,3.8,3.2,589.0,98.5,0
00240025,0.0,0.0,1.2,53.3,0.0,0.0,0.0,45.8,8.7,54.5,33.8,100.0,181.0,100.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,191.0,0.0,0.0,0.0,0.0,0.0,389.0,324.0,14.0,395.0,1.8,2.5,2.3,90.6,0.3,0.3,2.3,1.0,1.0,100.0,35.0,32.0,91.4,27.7,6.0,0.0,0.0,4.0,8.3,9.0,8.2,9.8,13.700000000000001,1.6,51.1,48.9,0.5,14.7,21.0,397.0,4.3,2.3,390.0,97.4,0
