school_code,trt,fullmatch,pairmatch
02090505,0,NA,NA
02100410,0,NA,NA
02110305,0,1.26,1.26
02120305,0,1.11,1.11
02130305,0,NA,NA
02150015,0,NA,NA
02150505,0,NA,NA
02180305,0,NA,NA
02190405,0,NA,NA
02200305,0,1.16,NA
02210005,0,NA,NA
02270305,0,NA,NA
02270505,0,NA,NA
02290305,0,1.33,1.33
02300005,0,NA,NA
02310003,0,1.1,NA
02310010,0,NA,NA
02310015,0,NA,NA
02310305,0,1.13,1.13
02340005,0,NA,NA
02360305,0,NA,NA
02360310,0,NA,NA
02390305,0,1.17,NA
02390405,0,1.24,NA
02400010,0,NA,NA
02430305,0,NA,NA
02430310,0,NA,NA
02430315,0,NA,NA
02430320,0,NA,NA
02430325,0,NA,NA
02440410,0,NA,NA
02460305,0,NA,NA
02460310,0,1.8,NA
02480014,0,NA,NA
02480057,0,NA,NA
02480305,0,NA,NA
02490005,0,1.34,NA
02500005,0,NA,NA
02510305,1,1.18,1.18
02580025,0,NA,NA
02580050,0,NA,NA
02580305,0,NA,NA
02610005,0,1.26,NA
02610010,0,NA,NA
02610025,0,1.14,NA
02640007,0,1.6,NA
02640010,0,NA,NA
02640015,0,NA,NA
02640020,0,NA,NA
02640305,0,1.28,NA
02660305,0,1.10,NA
02720005,0,NA,NA
02730305,0,1.20,1.20
02740015,0,NA,NA
02740075,0,NA,NA
02740083,0,1.6,NA
02740087,0,NA,NA
02740111,0,1.6,NA
02740115,0,NA,NA
02740120,0,NA,NA
02750005,0,NA,NA
02770415,0,NA,NA
02780305,0,1.28,NA
02810095,0,NA,NA
02810310,0,NA,NA
02810320,0,1.22,1.22
02810325,0,NA,NA
02810328,0,NA,NA
02810340,0,1.22,NA
02810345,0,NA,NA
02810350,0,1.23,NA
02810355,0,NA,NA
02810360,0,NA,NA
02840405,0,NA,NA
02850405,0,1.14,NA
02870005,0,NA,NA
02890005,0,NA,NA
02900305,0,NA,NA
02910305,0,1.30,NA
02920305,1,1.19,1.19
02930042,0,1.25,1.25
02930305,0,NA,NA
02930315,0,1.16,1.16
02930505,0,NA,NA
02950023,0,NA,NA
02950305,0,1.24,NA
02960005,0,NA,NA
02980005,0,NA,NA
03000005,0,NA,NA
03010305,0,NA,NA
03040015,0,1.32,1.32
03050310,0,1.25,NA
03060005,0,NA,NA
03070305,1,1.20,1.20
03070310,1,1.21,1.21
03090505,0,NA,NA
03100305,0,NA,NA
03140305,0,NA,NA
03150305,1,1.22,1.22
03160305,1,1.23,1.23
03210045,0,NA,NA
03220505,0,1.25,NA
03230305,0,NA,NA
03230505,0,NA,NA
03250310,1,1.24,1.24
03260310,0,1.9,NA
03270005,0,NA,NA
03300305,0,NA,NA
03310305,0,NA,NA
03360310,0,1.35,NA
03370005,0,NA,NA
03400020,0,NA,NA
03410010,0,NA,NA
03420330,1,1.25,1.25
03430505,0,1.7,NA
03440305,0,1.8,NA
03470405,0,NA,NA
03470410,0,1.8,1.8
03480020,0,NA,NA
03480026,0,NA,NA
03480030,0,NA,NA
03480035,0,NA,NA
03480045,0,NA,NA
03480050,0,NA,NA
03480052,0,NA,NA
03480053,0,NA,NA
03480055,0,NA,NA
03480060,0,NA,NA
03480090,0,NA,NA
03480095,0,NA,NA
03480100,0,NA,NA
03480110,0,NA,NA
03480115,0,NA,NA
03480136,0,NA,NA
03480140,0,NA,NA
03480145,0,NA,NA
03480160,0,NA,NA
03480175,0,NA,NA
03480177,0,NA,NA
03480185,0,NA,NA
03480200,0,NA,NA
03480202,0,NA,NA
03480210,0,NA,NA
03480220,0,NA,NA
03480230,0,NA,NA
03480235,0,NA,NA
03480240,0,NA,NA
03480260,0,NA,NA
03480280,0,NA,NA
04100205,0,NA,NA
04120530,0,NA,NA
04130505,0,NA,NA
04140305,0,NA,NA
04160305,0,NA,NA
04180305,0,1.27,NA
04190305,0,NA,NA
04200205,0,NA,NA
04280305,0,NA,NA
04290010,0,NA,NA
04320530,0,1.9,1.21
04350305,0,1.22,NA
04390050,0,NA,NA
04400205,0,NA,NA
04430205,0,NA,NA
04440205,0,NA,NA
04460550,1,1.26,1.26
04470205,0,NA,NA
04500105,0,NA,NA
04530005,0,NA,NA
04540205,0,NA,NA
04550050,0,NA,NA
04560050,0,NA,NA
04610405,0,NA,NA
04640305,0,NA,NA
04660550,0,NA,NA
04690505,0,NA,NA
04700105,0,1.10,NA
04710405,0,NA,NA
04740505,0,NA,NA
04750505,0,NA,NA
04760505,0,NA,NA
04780505,0,1.27,1.27
04790505,0,1.12,NA
04800405,0,NA,NA
04810550,0,NA,NA
04820050,0,1.5,NA
04830305,0,1.30,NA
04840505,0,NA,NA
04850485,0,NA,NA
04860105,0,NA,NA
04870550,0,NA,NA
04880550,0,1.27,NA
04910550,0,1.26,NA
04940205,0,NA,NA
04970205,0,NA,NA
04990305,0,NA,NA
06030505,0,NA,NA
06050405,1,1.27,1.27
06150050,0,NA,NA
06160305,0,NA,NA
06180310,0,1.18,1.18
06250300,0,NA,NA
06250315,0,1.31,1.31
06250320,0,NA,NA
06320025,0,NA,NA
06450310,0,NA,NA
06500305,0,NA,NA
06500310,0,NA,NA
06550405,1,1.28,1.28
06580310,1,1.29,1.29
06600305,0,1.28,NA
06620020,0,NA,NA
06700505,1,1.30,1.30
06720405,0,NA,NA
06720410,0,NA,NA
06740005,0,NA,NA
06740310,0,NA,NA
06800305,0,1.34,1.34
06850005,0,NA,NA
06900510,0,1.35,1.35
06980030,0,NA,NA
07050405,0,1.35,NA
07100015,1,1.31,1.31
07120305,0,NA,NA
07120310,0,NA,NA
07150505,0,1.5,NA
07170005,0,NA,NA
07170010,0,NA,NA
07170015,0,NA,NA
07170020,0,NA,NA
07250025,0,NA,NA
07250310,1,1.32,1.32
07280015,0,NA,NA
07350030,0,1.15,1.15
07350310,0,1.37,NA
07400405,0,1.7,NA
07450005,0,NA,NA
07450010,0,NA,NA
07450015,0,NA,NA
07450405,0,1.31,NA
07500006,0,NA,NA
07500008,0,NA,NA
07500505,0,1.2,NA
07530005,0,NA,NA
07530010,0,NA,NA
